Code,Description
1025804,"Alicante, Spain: Alicante Elche"
1025901,"Alpine, TX: Alpine Casparis Municipal"
1025902,"Alpine, TX: Alpine Casparis Municipal"
1026001,"Alta, Norway: Alta Airport"
1026002,"Alta, Norway: Alta Airport"
1026101,"Algiers, Algeria: Houari Boumediene"
1026102,"Algiers, Algeria: Houari Boumediene"
1026103,"Algiers, Algeria: Houari Boumediene"
1026104,"Algiers, Algeria: Houari Boumediene"
1026201,"Albany, Australia: Albany Airport"
1026202,"Albany, Australia: Albany Airport"
1026301,"Alice, TX: Alice International"
1026302,"Alice, TX: Alice International"
1026401,"Alexander Bay, South Africa: Alexander Bay Airport"
1026402,"Alexander Bay, South Africa: Alexander Bay Airport"
1026501,"Asela, Ethiopia: Asela Airport"
1026601,"Alamogordo, NM: Alamogordo White Sands Regional"
1026602,"Alamogordo, NM: Alamogordo White Sands Regional"
1026603,"Alamogordo, NM: Alamogordo White Sands Regional"
1026701,"Alton, IL: St. Louis Regional"
1026702,"Alton, IL: St. Louis Regional"
1026801,"Waterloo, IA: Waterloo Regional"
1026802,"Waterloo, IA: Waterloo Regional"
1026901,"Aleppo, Syria: Neirab"
1026902,"Aleppo, Syria: Aleppo International"
1027001,"Alegrete, Brazil: Alegrete Airport"
1027101,"Alexandra, New Zealand: Alexandra Airport"
1027102,"Alexandra, New Zealand: Alexandra Airport"
1027201,"Alamosa, CO: Alamosa Municipal"
1027202,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
1027203,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
1027301,"Alenquer, Brazil: Alenquer Airport"
1027401,"Alula, Somalia: Alula Airport"
1027501,"Walla Walla, WA: Walla Walla Regional"
1027502,"Walla Walla, WA: Walla Walla Regional"
1027503,"Walla Walla, WA: Walla Walla Regional"
1027601,"Alexander City, AL: Thomas C. Russell Field"
1027602,"Alexander City, AL: Thomas C. Russell Field"
1027701,"Alexandria, Egypt: Alexandria International"
1027702,"Alexandria, Egypt: Alexandria International"
1027801,"Lazy Bay, AK: Alitak Seaplane Base"
1027901,"Amarillo, TX: Amarillo International"
1027902,"Amarillo, TX: Rick Husband Amarillo International"
1027903,"Amarillo, TX: Rick Husband Amarillo International"
1028001,"Ahmedabad, India: Ahmedabad Airport"
1028002,"Ahmedabad, India: Ahmedabad Airport"
1028101,"Ama, Papua New Guinea: Ama Airport"
1028201,"Amboin, Papua New Guinea: Amboin Airport"
1028301,"Arba Minch, Ethiopia: Arba Minch Airport"
1028302,"Arba Minch, Ethiopia: Arba Minch Airport"
1028401,"Mataram, Indonesia: Rembiga"
1028402,"Mataram, Indonesia: Selaparang"
1028403,"Mataram, Indonesia: Selaparang"
1028501,"Durango, CO: Animas Air Park"
1028502,"Durango, CO: Animas Air Park"
1028601,"Puerto Armuelles, Panama: Puerto Armuelles Airport"
1028602,"Puerto Armuelles, Panama: Puerto Armuelles Airport"
1028701,"Amman, Jordan: Amman Airport"
1028702,"Amman, Jordan: Queen Alia International"
1028703,"Amman, Jordan: Queen Alia International"
1028801,"Alma, MI: Gratiot Community"
1028802,"Alma, MI: Gratiot Community"
1028901,"Mao, Chad: Mao Airport"
1028902,"Mao, Chad: Mao Airport"
1029001,"Ampanihy, Madagascar: Ampanihy Airport"
1029002,"Ampanihy, Madagascar: Ampanihy Airport"
1029101,"Ambon, Indonesia: Pattimura"
1029201,"Amsterdam, Netherlands: Schiphol"
1029202,"Amsterdam, Netherlands: Schiphol"
1029401,"Ames, IA: Ames Municipal"
1029402,"Ames, IA: Ames Municipal"
1029501,"Ammaroo, Australia: Ammaroo Station"
1029601,"Ambatomainty, Madagascar: Ambatomainty Airport"
1029602,"Ambatomainty, Madagascar: Ambatomainty Airport"
1029701,"Anaheim, CA: Anaheim-Disneyland HP"
1029801,"Anniston, AL: Anniston/Calhoun County"
1029802,"Anniston, AL: Anniston Metro"
1029803,"Anniston, AL: Anniston Regional"
1029901,"Anchorage, AK: Anchorage International"
1029902,"Anchorage, AK: Ted Stevens Anchorage International"
1029903,"Anchorage, AK: Ted Stevens Anchorage International"
1029904,"Anchorage, AK: Ted Stevens Anchorage International"
1030001,"Anderson, SC: Anderson Regional"
1030002,"Anderson, SC: Anderson Regional"
1030101,"Angers, France: Avrille"
1030102,"Angers, France: Angers Marce"
1030201,"Antofagasta, Chile: Cerro Moreno International"
1030202,"Antofagasta, Chile: Cerro Moreno International"
1030203,"Antofagasta, Chile: Andres Sabella International"
1030301,"Angouleme, France: Brie-Champniers"
1030302,"Angouleme, France: Brie-Champniers"
1030303,"Angouleme, France: Angouleme Airport"
1030304,"Angouleme, France: Angouleme Brie Champniers"
1030401,"Aniak, AK: Aniak Airport"
1030501,"Ankara, Turkey: Etimesgut"
1030502,"Ankara, Turkey: Etimesgut"
1030503,"Ankara, Turkey: Etimesgut"
1030601,"Antalaha, Madagascar: Antsirabato"
1030602,"Antalaha, Madagascar: Antsirabato"
1030701,"Annette, AK: Annette Island"
